dep;semaine;sursaud_cl_age_corona;Nbre_pass_Corona;Nbre_pass_tot;Nbre_hospit_Corona;Nbre_acte_corona;Nbre_acte_tot
05;2020-S14;B;37;244;1;;
05;2020-S14;C;41;179;5;;
05;2020-S14;D;15;82;9;;
05;2020-S14;E;11;105;10;;
06;2020-S10;0;90;6152;60;0;1221
06;2020-S10;A;5;1293;5;0;346
06;2020-S10;B;23;2167;8;0;479
06;2020-S10;C;19;1123;9;0;202
06;2020-S10;D;13;532;9;0;64
06;2020-S10;E;30;1037;29;0;130
06;2020-S11;0;264;5800;184;0;1214
06;2020-S11;A;31;1349;30;0;334
06;2020-S11;B;92;2104;54;0;484
06;2020-S11;C;57;1025;30;0;220
06;2020-S11;D;31;462;25;0;55
06;2020-S11;E;53;860;45;0;121
06;2020-S12;0;381;3676;213;109;1221
06;2020-S12;A;15;647;14;12;281
06;2020-S12;B;138;1272;51;56;498
06;2020-S12;C;93;786;45;27;239
06;2020-S12;D;46;322;31;9;75
06;2020-S12;E;89;649;72;5;128
06;2020-S13;0;575;3312;284;288;1184
06;2020-S13;A;6;467;4;29;193
06;2020-S13;B;201;1080;58;150;499
06;2020-S13;C;175;790;71;76;273
06;2020-S13;D;76;335;53;24;92
06;2020-S13;E;117;640;98;9;127
06;2020-S14;0;490;3345;287;219;1070
06;2020-S14;A;3;389;1;13;115
06;2020-S14;B;135;1082;45;124;447
06;2020-S14;C;159;837;87;55;250
06;2020-S14;D;74;364;54;14;86
06;2020-S14;E;119;673;100;13;171
07;2020-S10;0;2;1020;0;;
07;2020-S10;A;0;88;0;;
07;2020-S10;B;1;416;0;;
07;2020-S10;C;1;224;0;;
07;2020-S10;D;0;110;0;;
07;2020-S10;E;0;182;0;;
07;2020-S11;0;4;985;0;;
07;2020-S11;A;0;88;0;;
07;2020-S11;B;2;440;0;;
07;2020-S11;C;2;243;0;;
07;2020-S11;D;0;87;0;;
07;2020-S11;E;0;127;0;;
07;2020-S12;0;27;688;3;;
07;2020-S12;A;0;36;0;;
07;2020-S12;B;14;264;0;;
07;2020-S12;C;8;174;1;;
07;2020-S12;D;3;87;1;;
07;2020-S12;E;2;127;1;;
07;2020-S13;0;124;729;31;;
07;2020-S13;A;0;23;0;;
07;2020-S13;B;44;282;3;;
07;2020-S13;C;45;215;11;;
07;2020-S13;D;15;81;6;;
07;2020-S13;E;20;128;11;;
07;2020-S14;0;132;565;32;;
07;2020-S14;A;0;27;0;;
07;2020-S14;B;44;190;1;;
07;2020-S14;C;38;174;5;;
07;2020-S14;D;18;70;7;;
07;2020-S14;E;32;104;19;;
08;2020-S10;0;1;1686;0;;
08;2020-S10;A;0;389;0;;
08;2020-S10;B;0;569;0;;
08;2020-S10;C;1;298;0;;
08;2020-S10;D;0;169;0;;
08;2020-S10;E;0;261;0;;
08;2020-S11;0;1;1450;0;;
08;2020-S11;A;0;332;0;;
08;2020-S11;B;1;515;0;;
08;2020-S11;C;0;267;0;;
08;2020-S11;D;0;124;0;;
08;2020-S11;E;0;212;0;;
08;2020-S12;0;2;863;0;;
08;2020-S12;A;1;178;0;;
08;2020-S12;B;0;266;0;;
08;2020-S12;C;0;182;0;;
08;2020-S12;D;0;86;0;;
08;2020-S12;E;1;151;0;;
08;2020-S13;0;13;863;7;;
08;2020-S13;A;1;130;0;;
08;2020-S13;B;4;278;1;;
08;2020-S13;C;3;194;2;;
08;2020-S13;D;3;103;2;;
08;2020-S13;E;2;158;2;;
08;2020-S14;0;11;908;9;;
08;2020-S14;A;1;132;0;;
08;2020-S14;B;1;290;0;;
08;2020-S14;C;2;212;2;;
08;2020-S14;D;1;109;1;;
08;2020-S14;E;6;165;6;;
09;2020-S10;0;0;901;0;;
09;2020-S10;A;0;153;0;;
09;2020-S10;B;0;325;0;;
09;2020-S10;C;0;187;0;;
09;2020-S10;D;0;91;0;;
09;2020-S10;E;0;145;0;;
09;2020-S11;0;12;836;1;;
09;2020-S11;A;0;157;0;;
09;2020-S11;B;9;264;0;;
09;2020-S11;C;3;171;1;;
09;2020-S11;D;0;80;0;;
09;2020-S11;E;0;164;0;;
09;2020-S12;0;4;405;1;;
09;2020-S12;A;1;56;1;;
09;2020-S12;B;0;125;0;;
09;2020-S12;C;3;94;0;;
09;2020-S12;D;0;52;0;;
09;2020-S12;E;0;78;0;;
09;2020-S13;0;20;377;8;;
09;2020-S13;A;1;33;0;;
09;2020-S13;B;5;119;1;;
09;2020-S13;C;6;108;3;;
09;2020-S13;D;3;40;1;;
09;2020-S13;E;5;77;3;;
09;2020-S14;0;47;432;16;;
09;2020-S14;A;0;31;0;;
09;2020-S14;B;20;155;1;;
09;2020-S14;C;10;95;3;;
09;2020-S14;D;8;55;4;;
09;2020-S14;E;9;96;8;;
10;2020-S10;0;0;1361;0;1;988
10;2020-S10;A;0;310;0;0;301
10;2020-S10;B;0;516;0;1;468
10;2020-S10;C;0;208;0;0;126
10;2020-S10;D;0;97;0;0;32
10;2020-S10;E;0;230;0;0;60
10;2020-S11;0;2;1295;2;6;1033
10;2020-S11;A;0;311;0;2;328
10;2020-S11;B;0;478;0;3;471
10;2020-S11;C;0;202;0;1;144
10;2020-S11;D;0;101;0;0;27
10;2020-S11;E;2;203;2;0;63
10;2020-S12;0;50;864;19;62;868
10;2020-S12;A;0;139;0;2;228
10;2020-S12;B;24;324;5;42;432
10;2020-S12;C;11;161;2;15;129
10;2020-S12;D;5;83;4;1;30
10;2020-S12;E;10;157;8;2;49
10;2020-S13;0;124;826;62;93;686
10;2020-S13;A;2;84;2;3;110
10;2020-S13;B;31;313;5;59;366
10;2020-S13;C;42;201;19;16;126
10;2020-S13;D;28;88;16;9;35
10;2020-S13;E;21;140;20;6;49
10;2020-S14;0;124;780;65;79;507
10;2020-S14;A;1;86;1;2;74
10;2020-S14;B;34;277;3;50;285
10;2020-S14;C;36;189;14;20;93
10;2020-S14;D;19;83;17;1;13
10;2020-S14;E;34;145;30;6;42
11;2020-S10;0;0;2044;0;;
11;2020-S10;A;0;396;0;;
11;2020-S10;B;0;756;0;;
11;2020-S10;C;0;406;0;;
11;2020-S10;D;0;195;0;;
11;2020-S10;E;0;291;0;;
11;2020-S11;0;36;1973;5;;
11;2020-S11;A;4;415;0;;
11;2020-S11;B;19;678;1;;
11;2020-S11;C;9;394;1;;
11;2020-S11;D;3;205;3;;
11;2020-S11;E;1;281;0;;
11;2020-S12;0;80;1085;36;;
11;2020-S12;A;3;125;0;;
11;2020-S12;B;24;386;4;;
11;2020-S12;C;27;277;8;;
11;2020-S12;D;15;121;14;;
11;2020-S12;E;11;176;10;;
11;2020-S13;0;132;1011;69;;
11;2020-S13;A;5;101;2;;
11;2020-S13;B;35;328;4;;
11;2020-S13;C;39;271;16;;
11;2020-S13;D;22;116;20;;
11;2020-S13;E;31;195;27;;
11;2020-S14;0;96;976;31;;
11;2020-S14;A;1;83;1;;
11;2020-S14;B;40;310;4;;
11;2020-S14;C;26;268;6;;
11;2020-S14;D;14;145;7;;
11;2020-S14;E;15;169;13;;
12;2020-S10;0;0;925;0;;
12;2020-S10;A;0;147;0;;
12;2020-S10;B;0;335;0;;
12;2020-S10;C;0;188;0;;
12;2020-S10;D;0;96;0;;
12;2020-S10;E;0;159;0;;
12;2020-S11;0;0;908;0;;
12;2020-S11;A;0;154;0;;
12;2020-S11;B;0;330;0;;
12;2020-S11;C;0;181;0;;
12;2020-S11;D;0;96;0;;
12;2020-S11;E;0;147;0;;
12;2020-S12;0;3;485;0;;
12;2020-S12;A;0;62;0;;
12;2020-S12;B;2;161;0;;
12;2020-S12;C;1;117;0;;
12;2020-S12;D;0;48;0;;
12;2020-S12;E;0;97;0;;
12;2020-S13;0;3;396;0;;
12;2020-S13;A;0;34;0;;
12;2020-S13;B;0;123;0;;
12;2020-S13;C;2;103;0;;
12;2020-S13;D;1;60;0;;
12;2020-S13;E;0;76;0;;
12;2020-S14;0;0;388;0;;
12;2020-S14;A;0;36;0;;
12;2020-S14;B;0;124;0;;
12;2020-S14;C;0;88;0;;
12;2020-S14;D;0;57;0;;
12;2020-S14;E;0;83;0;;
13;2020-S10;0;40;9796;17;8;1459
13;2020-S10;A;6;2440;2;2;542
13;2020-S10;B;20;3668;10;3;521
13;2020-S10;C;7;1734;1;1;206
13;2020-S10;D;4;659;2;1;62
13;2020-S10;E;3;1295;2;1;122
13;2020-S11;0;52;9236;20;50;1837
13;2020-S11;A;0;2426;0;12;699
13;2020-S11;B;18;3300;2;26;680
13;2020-S11;C;17;1701;2;7;234
13;2020-S11;D;2;640;2;2;84
13;2020-S11;E;15;1169;14;1;127
13;2020-S12;0;241;6133;116;172;1431
13;2020-S12;A;5;1169;0;35;528
13;2020-S12;B;98;2246;24;81;537
13;2020-S12;C;84;1398;42;33;205
13;2020-S12;D;23;492;21;16;76
13;2020-S12;E;31;828;29;7;85
13;2020-S13;0;738;5940;410;231;1528
13;2020-S13;A;8;773;0;27;384
13;2020-S13;B;246;2212;70;113;633
13;2020-S13;C;269;1563;152;59;271
13;2020-S13;D;94;558;77;14;98
13;2020-S13;E;121;834;111;18;142
13;2020-S14;0;595;5662;303;153;1417
13;2020-S14;A;7;717;1;10;278
13;2020-S14;B;192;2145;42;84;546
13;2020-S14;C;188;1419;89;34;294
13;2020-S14;D;99;511;76;12;107
13;2020-S14;E;109;870;95;13;192
14;2020-S10;0;17;3068;8;6;2697
14;2020-S10;A;2;676;0;1;844
14;2020-S10;B;10;1061;4;4;1220
14;2020-S10;C;4;540;3;0;374
14;2020-S10;D;1;315;1;1;101
14;2020-S10;E;0;476;0;0;158
14;2020-S11;0;141;2805;13;61;2789
14;2020-S11;A;13;628;1;11;908
14;2020-S11;B;71;1053;5;37;1288
14;2020-S11;C;33;501;2;11;358
14;2020-S11;D;17;237;1;0;73
14;2020-S11;E;7;386;4;2;162
14;2020-S12;0;292;1900;35;317;1763
14;2020-S12;A;3;289;1;51;494
14;2020-S12;B;171;677;9;191;808
14;2020-S12;C;94;437;10;53;262
14;2020-S12;D;9;195;3;12;81
14;2020-S12;E;15;302;12;10;115
14;2020-S13;0;227;1643;77;444;1493
14;2020-S13;A;2;234;0;29;281
14;2020-S13;B;95;549;10;302;737
14;2020-S13;C;66;385;21;79;245
14;2020-S13;D;23;189;14;18;90
14;2020-S13;E;41;286;32;16;140
14;2020-S14;0;231;1618;96;281;1283
14;2020-S14;A;2;216;0;18;210
14;2020-S14;B;90;554;14;177;617
14;2020-S14;C;66;388;27;64;233
14;2020-S14;D;32;182;22;13;86
14;2020-S14;E;41;278;33;9;137
15;2020-S10;0;0;556;0;;
15;2020-S10;A;0;84;0;;
15;2020-S10;B;0;185;0;;
15;2020-S10;C;0;128;0;;
15;2020-S10;D;0;38;0;;
15;2020-S10;E;0;121;0;;
15;2020-S11;0;2;575;2;;
15;2020-S11;A;0;94;0;;
15;2020-S11;B;0;181;0;;
15;2020-S11;C;0;117;0;;
15;2020-S11;D;1;59;1;;
15;2020-S11;E;1;124;1;;
15;2020-S12;0;12;303;8;;
15;2020-S12;A;0;41;0;;
15;2020-S12;B;3;75;1;;
15;2020-S12;C;2;76;0;;
15;2020-S12;D;3;38;3;;
15;2020-S12;E;4;73;4;;
15;2020-S13;0;61;293;25;;
15;2020-S13;A;0;25;0;;
15;2020-S13;B;21;89;1;;
15;2020-S13;C;20;69;8;;
15;2020-S13;D;6;33;5;;
15;2020-S13;E;14;77;11;;
15;2020-S14;0;39;283;19;;
15;2020-S14;A;0;32;0;;
15;2020-S14;B;15;78;2;;
15;2020-S14;C;9;69;4;;
15;2020-S14;D;4;35;2;;
15;2020-S14;E;11;69;11;;
16;2020-S10;0;0;1577;0;;
16;2020-S10;A;0;125;0;;
16;2020-S10;B;0;564;0;;
16;2020-S10;C;0;341;0;;
16;2020-S10;D;0;171;0;;
16;2020-S10;E;0;376;0;;
16;2020-S11;0;1;1583;1;;
16;2020-S11;A;0;209;0;;
16;2020-S11;B;1;563;1;;
16;2020-S11;C;0;332;0;;
16;2020-S11;D;0;159;0;;
16;2020-S11;E;0;320;0;;
16;2020-S12;0;29;896;10;;
16;2020-S12;A;1;66;1;;
16;2020-S12;B;14;325;3;;
16;2020-S12;C;6;190;1;;
16;2020-S12;D;3;99;3;;
16;2020-S12;E;5;216;2;;
16;2020-S13;0;138;835;29;;
16;2020-S13;A;0;60;0;;
16;2020-S13;B;62;295;3;;
16;2020-S13;C;48;223;11;;
16;2020-S13;D;12;89;6;;
16;2020-S13;E;16;168;9;;
16;2020-S14;0;111;891;42;;
16;2020-S14;A;0;68;0;;
16;2020-S14;B;37;277;4;;
16;2020-S14;C;32;220;10;;
16;2020-S14;D;15;118;8;;
16;2020-S14;E;27;208;20;;
17;2020-S10;0;23;3045;9;0;407
17;2020-S10;A;2;343;0;0;107
17;2020-S10;B;3;976;0;0;158
17;2020-S10;C;12;638;5;0;60
17;2020-S10;D;1;404;0;0;24
17;2020-S10;E;5;683;4;0;57
17;2020-S11;0;70;2775;10;0;413
17;2020-S11;A;9;376;0;0;103
17;2020-S11;B;23;879;0;0;166
17;2020-S11;C;27;551;5;0;71
17;2020-S11;D;9;345;4;0;27
17;2020-S11;E;2;624;1;0;46
17;2020-S12;0;181;1877;38;6;316
17;2020-S12;A;12;233;5;0;70
17;2020-S12;B;73;593;5;5;143
17;2020-S12;C;49;409;9;0;45
17;2020-S12;D;14;228;4;1;20
17;2020-S12;E;33;414;15;0;38
17;2020-S13;0;183;1739;61;37;247
17;2020-S13;A;4;178;2;4;35
17;2020-S13;B;56;481;2;22;97
17;2020-S13;C;51;428;17;8;51
17;2020-S13;D;37;240;14;1;27
17;2020-S13;E;35;412;26;2;37
17;2020-S14;0;148;1702;61;45;232
17;2020-S14;A;1;174;0;6;26
17;2020-S14;B;38;491;7;27;92
17;2020-S14;C;51;391;13;8;49
17;2020-S14;D;23;231;10;2;24
17;2020-S14;E;35;415;31;2;41
18;2020-S10;0;0;863;0;0;1574
18;2020-S10;A;0;130;0;0;419
18;2020-S10;B;0;274;0;0;810
18;2020-S10;C;0;185;0;0;247
18;2020-S10;D;0;80;0;0;47
18;2020-S10;E;0;194;0;0;51
18;2020-S11;0;36;893;0;0;1472
18;2020-S11;A;13;170;0;0;421
18;2020-S11;B;18;281;0;0;729
18;2020-S11;C;3;174;0;0;230
18;2020-S11;D;2;106;0;0;56
18;2020-S11;E;0;162;0;0;36
18;2020-S12;0;97;644;2;13;1017
18;2020-S12;A;2;69;0;0;243
18;2020-S12;B;52;216;1;10;505
18;2020-S12;C;36;161;0;2;192
18;2020-S12;D;3;60;0;0;45
18;2020-S12;E;4;138;1;1;32
18;2020-S13;0;93;593;3;38;567
18;2020-S13;A;1;57;0;2;99
18;2020-S13;B;51;192;2;31;295
18;2020-S13;C;27;149;0;5;108
18;2020-S13;D;4;57;0;0;28
18;2020-S13;E;10;138;1;0;37
18;2020-S14;0;129;603;5;58;491
18;2020-S14;A;0;41;0;5;63
18;2020-S14;B;40;193;1;38;249
18;2020-S14;C;34;144;1;12;116
18;2020-S14;D;19;73;1;1;28
18;2020-S14;E;36;152;2;2;35
19;2020-S10;0;2;1262;2;;
19;2020-S10;A;0;186;0;;
